M	M	M	M	M	M	M	M	TM	TM	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	TM	TM
M	TM	TM	TM	M	M	M	M	TM	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	TM	M
M	TM	T	TM	TM	TM	TM	M	TM	T	T	T	T	T	T	T	T	T	T	T	TM	TM	TM	T	T	T	T	T	T	T	T	T	T	T	TM	M
M	TM	T	T	T	T	TM	TM	TM	T	T	T	T	T	T	T	TM	TM	TM	T	TM	TM	TM	T	T	T	T	T	T	T	T	T	T	TM	TM	M
M	TM	T	T	T	T	T	T	T	T	T	T	TM	TM	TM	TM	TM	M	TM	T	TM	TM	TM	TM	TM	T	T	T	T	T	T	T	T	TM	M	M
TM	TM	T	T	T	T	T	T	T	T	T	T	TM	M	TM	TM	TM	TM	TM	TM	T	TM	M	M	TM	TM	T	T	T	T	T	T	T	TM	TM	M
TM	T	T	T	T	T	T	T	T	TM	TM	TM	TM	M	M	M	TM	TM	M	TM	TMC	TM	TM	TM	M	TM	TM	T	T	T	T	T	T	TM	TM	TM
TM	T	T	T	T	T	T	T	TM	TM	M	M	M	M	M	M	TM	TM	M	M	TM	TM	T	TM	TM	M	TM	T	T	TM	TM	TM	TM	TM	TM	TM
TM	T	T	T	T	T	T	T	TM	M	TM	TM	TM	M	M	M	TM	TM	M	M	M	M	TM	TM	TM	TM	TM	TM	T	TM	TM	M	TM	TM	T	T
TM	TM	TM	T	T	T	T	TM	TM	M	M	M	M	M	M	M	TM	TM	M	M	M	M	M	TM	TM	M	M	TM	T	T	TM	M	M	TM	T	T
M	M	TM	TM	TM	TM	TM	TM	M	M	M	M	M	M	M	M	TM	TM	M	M	M	M	M	TM	TM	M	M	TM	TM	TM	TM	TM	M	TM	TM	T
M	M	TM	TM	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	TM	TM	TM	TM	TM	M	M	M	TM	T	TM	TM	M	M	TM	TM
M	TM	TM	TM	TM	TM	TM	TM	TM	TM	TM	TM	TM	TM	TM	TM	TM	TM	TMC	M	TM	TM	TM	M	M	M	M	M	TM	TM	TM	M	M	M	M	M
TM	TM	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	TM	M	M	M	M	M	M	M	M	M	M	M	M	TM	TM	TM	M	M
T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	TM	M	M	M	M	M	M	M	M	M	M	M	M	TM	TM	TM	M	M
T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	TM	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M
T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	TM	TM	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M	M
T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	TM	TM	TM	TM	M	M	M	M	M	TM	TM	TM	TM	TM	TM	M	M
T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	TM	TM	M	M	M	M	TM	T	T	T	T	TM	TM	TM
T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	TM	TM	TM	TM	M	TM	T	T	T	T	T	T	T
T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	TM	TM	TM	T	T	T	T	T	T	T
T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T
T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T
T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T	T
